Code,Section number,Depth (cm),Age (kyr BP),Decription,,Weight,Area,TS%(calculated),Date,Remarks,R2,V2O5,,Weight,Area,TS%(calculated),Date,Remarks,R2,V2O5,,Weight,Area,TS%(calculated),Date,Remarks,R2,V2O5
MD32-23,1,119.5,6.39,,,31.7,19400.5,0.03,29-Nov,,,,,,,,,,,,,,,,,,,
MD32-24,1,130.8,6.65,KYWei sampled,,29.5,23870,0.04,29-Nov,,,,,,,,,,,,,,,,,,,
MD32-25,1,136.8,6.79,,,30.4,25201,0.04,29-Nov,,,,,,,,,,,,,,,,,,,
MD32-26,1,142.8,6.93,browninsh layer,,30.2,18990,0.03,29-Nov,,,,,,,,,,,,,,,,,,,
MD32-27,2,154.5,7.19,,,30,21152,0.04,30-Nov,,,,,34.2,29390.5,0.045,18-Nov,MEDIUM VALUE NOT ACCURATE,,,,,,,,,,
MD32-28,2,161,7.34,pumice,,38.1,29891.5,0.041,12-Nov,,0.99,YES,,,,,,,,,,,,,,,,
MD32-29,2,167.8,7.50,browninsh layer,,42.5,23792,0.03,12-Nov,,0.99,YES,,,,,,,,,,,,,,,,
MD32-30,2,180.2,7.77,browninsh layer,,37.3,24433,0.03,12-Nov,,0.99,YES,,,,,,,,,,,,,,,,
MD32-31,2,190.7,8.03,"BL, same layer with the follow two",,30.5,23110.5,0.04,30-Nov,,,,,,,,,,,,,,,,,,,
MD32-32,2,198,8.19,browninsh layer,,28.7,74274,0.14,30-Nov,,,,,,,,,,,,,,,,,,,
MD32-33,2,207.5,8.40,browninsh layer,,28.7,38716,0.07,1-Dec,,,,,,,,,,,,,,,,,,,
MD32-34,2,216.3,8.61,,,28.8,44203,0.08,1-Dec,,,,,,,,,,,,,,,,,,,
MD32-35,2,219.2,8.67,,,29.1,25156.5,0.05,19-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-36,2,221.8,8.74,,,30.6,26546.5,0.04,4-Nov,,0.99,YES,,,,,,,,,,,,,,,,
MD32-37,2,229.3,8.91,browninsh layer,,27.5,54563.5,0.10,26-Nov,,,,,,,,,,,,,,,,,,,
MD32-38,2,259.1,9.77,KYWei sampled,,28.8,58646,0.10,26-Nov,,,,,,,,,,,,,,,,,,,
MD32-39,2,284,10.53,browninsh layer,,29.2,60021,0.11,25-Nov,,,,,,,,,,,,,,,,,,,
MD32-40,2,294.5,10.85,,,24.8,18701,0.06,28-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-41,3,307.2,11.23,,,31.4,34375,0.06,22-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-42,3,340.7,12.24,browninsh layer,,30.1,27949,0.05,22-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-43,3,363,12.92,,,10.3,5982,0.03,22-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-44,3,385.2,13.33,KYWei sampled,,29.5,29547,0.05,22-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-45,3,405.5,13.39,,,27.3,24139,0.05,13-Nov,,0.99,NO,,,,,,,,,,30.9,22207,0.04,22-Nov,,0.99,NO
MD32-46,3,435,13.47,,,30.2,32168,0.05,13-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-47,4,457,13.53,,,30.8,22877,0.04,13-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-48,4,496.7,13.65,KYWei sampled,,30.5,27833,0.05,25-Nov,,,,,,,,,,,,,,,,,,,
MD32-49,4,525.5,13.72,turbidite layer ,,35.4,47530,0.07,19-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-50,4,531,13.74,,,31.4,34518.5,0.06,19-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-51,4,534.2,13.75,,,27.7,150427,0.28,19-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-52,4,555.4,13.84,,,29.1,23961.5,0.05,19-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-53,4,561,13.89,browninsh layer,,31.8,76494,0.13,18-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-54,4,575,14.01,,,30.1,39060,0.07,18-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-55,4,582.2,14.08,browninsh layer,,32,224434,0.36,18-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-56,4,596.3,14.20,browninsh layer,,31,218788.5,0.36,1-Dec,,,,,,,,,,,,,,,,,,,
MD32-57,5,605,14.28,browninsh layer,,28.7,128131,0.23,1-Dec,,,,,,,,,,,,,,,,,,,
MD32-58,5,617.8,14.39,,,29.8,35415,0.06,1-Dec,,,,,,,,,,,,,,,,,,,
MD32-59,5,625,14.45,browninsh layer,,28.5,68276.5,0.12,1-Dec,,,,,,,,,,,,,,,,,,,
MD32-60,5,644,14.62,browninsh layer,,30.6,153822,0.26,1-Dec,,,,,,,,,,,,,,,,,,,
MD32-61,5,673.7,14.88,browninsh layer,,27.6,68780,0.13,1-Dec,,,,,,,,,,,,,,,,,,,
MD32-62,5,695.3,15.07,KYWei sampled,,28.6,43013,0.08,1-Dec,,,,,,,,,,,,,,,,,,,
MD32-63,5,698.6,15.10,,,29,43883,0.08,1-Dec,,,,,,,,,,,,,,,,,,,
MD32-64,5,722,15.30,,,29.7,51991.5,0.09,1-Dec,,,,,,,,,,,,,,,,,,,
MD32-65,5,726.5,15.34,browninsh layer,,28.6,42243,0.08,25-Nov,,,,,,,,,,,,,,,,,,,
MD32-66,5,746.5,15.52,browninsh layer,,28,108562.5,0.20,25-Nov,,,,,,,,,,,,,,,,,,,
MD32-67,6,756,15.60,,,27.7,30309,0.06,19-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-68,6,762.5,15.66,,,29,53295,0.10,1-Dec,,,,,,,,,,,,,,,,,,,
MD32-69,6,795.7,15.94,,,31,38662,0.07,1-Dec,,,,,,,,,,,,,,,,,,,
MD32-70,6,827.8,16.23,KYWei sampled,,31.4,198567,0.33,30-Nov,,,,,,,,,,,,,,,,,,,
MD32-71,6,831.4,16.26,browninsh layer,,29.6,71913,0.13,30-Nov,,,,,,,,,,,,,,,,,,,
MD32-72,6,852.2,16.44,,,31.9,175888,0.29,30-Nov,,,,,,,,,,,,,,,,,,,
MD32-73,6,856.5,16.48,thick browninsh layer,,8.6,48090.125,0.30,,,,,,3.6,14107,0.36,28-Nov,,,,,,,,,,,
MD32-74,6,862.3,16.53,,,31.9,53140,0.09,,,,,,,,,,,,,,,,,,,,
MD32-75,6,877.3,16.65,below browninsh layer,,33.7,27968,0.04,30-Nov,,,,,,,,,,,,,,,,,,,
MD32-76,6,897.2,16.78,,,30.55,134454.5,0.23,3-Dec,,,,,,,,,,,,,,,,,,,
MD32-77,7,915.5,16.91,,,28.62,143711,0.26,3-Dec,,,,,,,,,,,,,,,,,,,
MD32-78,7,927.5,16.99,slight browninsh layer,,26.9,174225,0.33,,,,,,,,,,,,,,,,,,,,
MD32-79,7,934.5,17.04,thick browninsh layer,,9.18,85939,0.48,3-Dec,,,,,,,,,,,,,,,,,,,
MD32-80,7,939.5,17.08,"browninsh layer, transition",,29.14,455017,0.79,3-Dec,,,,,,,,,,,,,,,,,,,
MD32-81,7,956.1,17.19,KYWei sampled,,30,530130,0.90,3-Dec,,,,,,,,,,,,,,,,,,,
MD32-82,7,969.7,17.29,slight browninsh layer,,27.1,28754,0.08,28-Nov,,0.99,NO,,27.5,35192,0.09,28-Nov,,,,,,,,,,,
MD32-83,7,974.3,17.32,browninsh layer,,27.9,157076,0.35,28-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-84,7,995.7,17.47,,,29.4,112327,0.19,13-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-85,7,1016,17.57,slight browninsh layer,,31.5,72306.5,0.12,13-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-86,7,1032.3,17.65,,,30.1,40743,0.07,13-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-87,7,1043.9,17.70,browninsh layer,,30.7,286693,0.47,13-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-88,8,1052.5,17.74,,,29.1,78540.5,0.14,13-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-89,8,1057.3,17.77,,,29.7,37717,0.07,13-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-90,8,1063,17.79,,,27.6,26353.5,0.05,13-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-91,8,1111.5,18.02,,,32,33015.5,0.05,13-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-92,8,1122.8,18.07,,,29.7,35588,0.06,13-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-93,8,1136.3,18.13,KYWei sampled,,26.22,48421.5,0.10,3-Dec,,,,,,,,,,,,,,,,,,,
MD32-94,8,1148.5,18.19,below browninsh layer,,30.5,26083,0.04,2-Dec,,,,,,,,,,,,,,,,,,,
MD32-95,8,1160,18.24,,,30.2,28891.5,0.05,2-Dec,,,,,,,,,,,,,,,,,,,
MD32-96,8,1179.5,18.33,,,29.3,45009,0.07,2-Dec,,,,,,,,,,,,,,,,,,,
MD32-97,8,1195,18.41,,,30.1,23649,0.04,25-Nov,,,,,,,,,,,,,,,,,,,

